"Year","SA2.name","Gender","Age_category","Population_Count"
2012,"Southbank","A","Adult",7011
2012,"Southbank","A","Old",640
2012,"West Melbourne (Residential)","M","Child",100
2012,"West Melbourne (Residential)","M","Teen",128
2012,"West Melbourne (Residential)","M","Adult",1938
2012,"West Melbourne (Residential)","M","Old",144
2012,"West Melbourne (Residential)","F","Child",131
2012,"West Melbourne (Residential)","F","Teen",101
2012,"West Melbourne (Residential)","F","Adult",1401
2012,"West Melbourne (Residential)","F","Old",148
2012,"West Melbourne (Residential)","A","Child",231
2012,"West Melbourne (Residential)","A","Teen",229
2012,"West Melbourne (Residential)","A","Adult",3339
2012,"West Melbourne (Residential)","A","Old",292
2012,"Port Melbourne","M","Child",834
2012,"Port Melbourne","M","Teen",443
2012,"Port Melbourne","M","Adult",5075
2012,"Port Melbourne","M","Old",1378
2012,"Port Melbourne","F","Child",729
2012,"Port Melbourne","F","Teen",427
2012,"Port Melbourne","F","Adult",5503
2012,"Port Melbourne","F","Old",1575
2012,"Port Melbourne","A","Child",1563
2012,"Port Melbourne","A","Teen",870
2012,"Port Melbourne","A","Adult",10578
2012,"Port Melbourne","A","Old",2953
2012,"Port Melbourne","M","Child",4
2012,"Port Melbourne","M","Teen",3
2012,"Port Melbourne","M","Adult",35
2012,"Port Melbourne","M","Old",11
2012,"Port Melbourne","F","Child",3
2012,"Port Melbourne","F","Teen",0
2012,"Port Melbourne","F","Adult",19
2012,"Port Melbourne","F","Old",4
2012,"Port Melbourne","A","Child",7
2012,"Port Melbourne","A","Teen",3
2012,"Port Melbourne","A","Adult",54
2012,"Port Melbourne","A","Old",15
2013,"Carlton","M","Child",450
2013,"Carlton","M","Teen",961
2013,"Carlton","M","Adult",5920
2013,"Carlton","M","Old",641
2013,"Carlton","F","Child",392
2013,"Carlton","F","Teen",1269
2013,"Carlton","F","Adult",6413
2013,"Carlton","F","Old",673
2013,"Carlton","A","Child",842
2013,"Carlton","A","Teen",2230
2013,"Carlton","A","Adult",12333
2013,"Carlton","A","Old",1314
2013,"Docklands","M","Child",221
2013,"Docklands","M","Teen",183
2013,"Docklands","M","Adult",3396
2013,"Docklands","M","Old",400
2013,"Docklands","F","Child",214
2013,"Docklands","F","Teen",218
2013,"Docklands","F","Adult",3044
2013,"Docklands","F","Old",312
2013,"Docklands","A","Child",435
2013,"Docklands","A","Teen",401
2013,"Docklands","A","Adult",6440
2013,"Docklands","A","Old",712
2013,"East Melbourne","M","Child",145
2013,"East Melbourne","M","Teen",90
2013,"East Melbourne","M","Adult",1792
2013,"East Melbourne","M","Old",530
2013,"East Melbourne","F","Child",146
2013,"East Melbourne","F","Teen",89
2013,"East Melbourne","F","Adult",1921
2013,"East Melbourne","F","Old",620
2013,"East Melbourne","A","Child",291
2013,"East Melbourne","A","Teen",179
2013,"East Melbourne","A","Adult",3713
2013,"East Melbourne","A","Old",1150
2013,"Melbourne (Remainder)","M","Child",0
2013,"Melbourne (Remainder)","M","Teen",3
2013,"Melbourne (Remainder)","M","Adult",32
2013,"Melbourne (Remainder)","M","Old",5
2013,"Melbourne (Remainder)","F","Child",0
2013,"Melbourne (Remainder)","F","Teen",0
2013,"Melbourne (Remainder)","F","Adult",48
2013,"Melbourne (Remainder)","F","Old",0
2013,"Melbourne (Remainder)","A","Child",0
2013,"Melbourne (Remainder)","A","Teen",3
2013,"Melbourne (Remainder)","A","Adult",80
2013,"Melbourne (Remainder)","A","Old",5
2013,"Kensington","M","Child",624
2013,"Kensington","M","Teen",318
2013,"Kensington","M","Adult",3797
2013,"Kensington","M","Old",524
2013,"Kensington","F","Child",590
2013,"Kensington","F","Teen",335
2013,"Kensington","F","Adult",3939
2013,"Kensington","F","Old",635
2013,"Kensington","A","Child",1214
2013,"Kensington","A","Teen",653
2013,"Kensington","A","Adult",7736
2013,"Kensington","A","Old",1159
2013,"Parkville","M","Child",157
2013,"Parkville","M","Teen",585
2013,"Parkville","M","Adult",2216
2013,"Parkville","M","Old",437
2013,"Parkville","F","Child",179
2013,"Parkville","F","Teen",734
2013,"Parkville","F","Adult",2286
2013,"Parkville","F","Old",580
2013,"Parkville","A","Child",336
2013,"Parkville","A","Teen",1319
2013,"Parkville","A","Adult",4502
2013,"Parkville","A","Old",1017
2013,"South Yarra","M","Child",203
2013,"South Yarra","M","Teen",219
2013,"South Yarra","M","Adult",1998
2013,"South Yarra","M","Old",661
2013,"South Yarra","F","Child",195
2013,"South Yarra","F","Teen",219
2013,"South Yarra","F","Adult",2141
2013,"South Yarra","F","Old",757
2013,"South Yarra","A","Child",398
2013,"South Yarra","A","Teen",438
2013,"South Yarra","A","Adult",4139
2013,"South Yarra","A","Old",1418
2013,"West Melbourne (Industrial)","M","Child",0
2013,"West Melbourne (Industrial)","M","Teen",0
2013,"West Melbourne (Industrial)","M","Adult",0
2013,"West Melbourne (Industrial)","M","Old",0
2013,"West Melbourne (Industrial)","F","Child",0
2013,"West Melbourne (Industrial)","F","Teen",0
2013,"West Melbourne (Industrial)","F","Adult",0
2013,"West Melbourne (Industrial)","F","Old",0
2013,"West Melbourne (Industrial)","A","Child",0
2013,"West Melbourne (Industrial)","A","Teen",0
2013,"West Melbourne (Industrial)","A","Adult",0
2013,"West Melbourne (Industrial)","A","Old",0
2013,"Melbourne (CBD)","M","Child",166
2013,"Melbourne (CBD)","M","Teen",314
2013,"Melbourne (CBD)","M","Adult",4034
2013,"Melbourne (CBD)","M","Old",452
2013,"Melbourne (CBD)","F","Child",140
2013,"Melbourne (CBD)","F","Teen",371
2013,"Melbourne (CBD)","F","Adult",3809
2013,"Melbourne (CBD)","F","Old",360
2013,"Melbourne (CBD)","A","Child",306
2013,"Melbourne (CBD)","A","Teen",685
2013,"Melbourne (CBD)","A","Adult",7843
2013,"Melbourne (CBD)","A","Old",812
2013,"Melbourne (CBD)","M","Child",101
2013,"Melbourne (CBD)","M","Teen",555
2013,"Melbourne (CBD)","M","Adult",3792
2013,"Melbourne (CBD)","M","Old",173
2013,"Melbourne (CBD)","F","Child",121
